Date,Global,LATINO,REP DOM,Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,México,Paraguay,Perú,Panamá,Uruguay,Venezuela
2013-07-29,3.32614,3.58467,3.78189,11.38945,2.63749,2.38182,1.61423,1.73339,2.85331,6.20503,4.01113,2.7329,7.49201,1.99378,2.46962,1.74599,1.78091,1.74858,9.6103
2013-07-30,3.3655,3.6026,3.77195,11.30438,2.62591,2.40694,1.59124,1.77157,2.88805,6.20246,3.99901,2.72047,7.48133,2.0243,2.4578,1.77615,1.79236,1.77806,9.65471
2013-07-31,3.42988,3.61587,3.8535,11.11536,2.6418,2.41161,1.60126,1.80642,2.91908,6.19893,4.05134,2.73956,7.49754,2.02373,2.47438,1.79757,1.8254,1.84911,9.66274
2013-08-01,3.33789,3.55655,3.68218,10.94692,2.51003,2.38452,1.57892,1.80899,2.84551,6.17106,3.90905,2.54825,7.3713,1.97995,2.3429,1.78596,1.73196,1.78658,9.49669
2013-08-02,3.4186,3.60331,3.89878,11.01013,2.76348,2.4091,1.61926,1.82711,2.9432,6.20746,4.01879,2.62175,7.48258,1.99855,2.59194,1.78919,1.86746,1.91677,9.44454
2013-08-05,3.3788,3.57098,3.87668,10.94128,2.73817,2.38214,1.60864,1.77553,2.91288,6.19671,3.98864,2.59294,7.45807,1.9892,2.56588,1.75647,1.83543,1.88394,9.36491
2013-08-06,3.38272,3.5445,3.87081,10.68881,2.73007,2.37581,1.62124,1.71586,2.90528,6.19121,3.98052,2.58361,7.45067,1.95522,2.55727,1.78628,1.82653,1.87566,9.29388
2013-08-07,3.45899,3.60978,3.90625,10.67416,2.77811,2.41994,1.6811,1.76003,3.03353,6.17494,4.02978,2.43935,7.49674,2.00401,2.60611,1.82684,1.87715,2.04113,9.51699
2013-08-08,3.44179,3.59911,3.86519,10.51616,2.78994,2.3949,1.68337,1.76345,3.04332,6.17507,4.03899,2.44896,7.50852,2.01439,2.6174,1.83469,1.93509,2.04941,9.40169
2013-08-09,3.44497,3.60421,3.87237,10.36265,2.80052,2.41124,1.69578,1.75965,3.06526,6.17262,4.05901,2.46415,7.5192,2.04128,2.62842,1.85892,1.95777,2.0748,9.36809
2013-08-12,3.40505,3.56871,3.84681,10.32472,2.77217,2.36035,1.70135,1.72865,3.03505,6.16947,4.02965,2.43493,7.49249,2.02432,2.60004,1.82862,1.92769,2.05482,9.23474
2013-08-13,3.34354,3.50182,3.69947,10.20345,2.79687,2.28193,1.66629,1.69478,2.92171,6.13155,3.92209,2.322,7.37972,1.95415,2.62255,1.7733,1.8227,2.07567,9.15784
2013-08-14,3.35902,3.51101,3.64463,10.1752,2.80111,2.32135,1.6788,1.71421,2.92513,6.12829,3.92474,2.3544,7.38501,1.93118,2.6265,1.80764,1.82404,2.08388,9.16635
2013-08-15,3.37905,3.51945,3.60123,10.19446,2.75702,2.33834,1.68059,1.75779,2.88013,6.10895,3.88012,2.3101,7.34208,1.93421,2.58248,1.84804,1.77941,2.12331,9.17768
2013-08-16,3.38167,3.50156,3.53965,10.16514,2.68632,2.368,1.65943,1.77386,2.80983,6.09739,3.81007,2.23697,7.27431,1.9428,2.51076,1.87886,1.70842,2.07201,9.06513
2013-08-19,3.47003,3.58579,3.55212,10.33507,2.77742,2.46125,1.71464,1.85241,2.79479,6.3095,3.78176,2.29043,7.22407,2.0535,2.45825,1.9324,1.78449,2.08877,9.29181
2013-08-20,3.58112,3.66435,3.61767,10.39494,2.84731,2.47462,1.73517,1.87382,2.96181,6.55742,3.89353,2.35614,7.29211,2.07361,2.66879,1.96606,1.99759,2.17463,9.60152
2013-08-21,3.60739,3.72204,3.68726,10.431,2.93482,2.51585,1.76803,1.91709,2.98125,6.52361,3.89586,2.42622,7.23602,2.13743,2.75526,2.00023,1.96341,2.34859,9.80896
2013-08-22,3.5954,3.6806,3.74193,10.23004,3.04103,2.43958,1.71832,1.87688,2.97765,6.48184,3.96604,2.51728,7.38005,2.09958,2.7154,1.96138,1.97522,2.33926,9.70363
2013-08-23,3.63519,3.75164,3.81467,10.72302,3.12613,2.47989,1.76637,1.89322,3.09871,6.4954,4.07487,2.60569,7.46204,2.15743,2.80111,1.99024,2.06519,2.43207,9.72557
2013-08-26,3.64408,3.76237,3.83625,10.75083,3.1441,2.47927,1.76925,1.87923,3.15399,6.50713,4.1107,2.62041,7.48043,2.15686,2.8182,1.98653,2.0904,2.43734,9.7895
2013-08-27,3.76344,3.87819,3.91642,11.19701,3.23069,2.54928,1.84141,1.9486,3.2564,6.52524,4.19155,2.70452,7.5644,2.23274,2.9045,2.08261,2.18181,2.51759,10.14674
2013-08-28,3.76006,3.85997,3.85116,11.26756,3.16518,2.53172,1.81445,1.94747,3.22604,6.47565,4.15103,2.64041,7.68932,2.22141,2.83899,2.05932,2.13093,2.45787,10.16442
2013-08-29,3.77667,3.90838,4.0201,11.62619,3.20387,2.57343,1.84322,1.99538,3.27337,6.48814,4.2078,2.74485,7.7262,2.24472,2.87787,2.07982,2.19695,2.5074,10.13547
2013-08-30,3.75111,3.87056,3.98805,11.69982,3.17743,2.5719,1.82092,1.97669,3.28814,6.48622,4.21089,2.73068,7.70262,2.22178,2.85474,2.07439,2.19253,2.41525,10.16847
2013-09-03,3.72505,3.81683,3.9106,11.27942,3.0869,2.53473,1.84237,1.93935,3.21559,6.46036,4.13851,2.76057,7.6154,2.18727,2.76246,2.04236,2.11913,2.33546,10.14426
2013-09-04,3.73726,3.83556,3.86017,11.00773,3.04375,2.55495,1.82464,1.95885,3.19907,6.40225,4.18869,2.72236,7.57276,2.20881,2.86506,2.02248,2.14143,2.31094,10.50244
2013-09-05,3.68043,3.77591,3.82991,10.85437,2.95504,2.48202,1.83287,1.94285,3.1839,6.34327,4.13027,2.63494,7.48511,2.1573,2.77691,1.95936,2.05708,2.2224,10.38902
2013-09-06,3.66241,3.74459,3.90537,10.75367,3.02253,2.42819,1.83297,1.89035,3.23966,6.40453,4.21793,2.69217,7.55274,2.12138,2.84237,1.92453,2.09882,2.25075,10.12556
2013-09-09,3.62922,3.6953,3.9386,10.61716,3.05122,2.3743,1.82354,1.83391,3.26013,6.4238,4.28704,2.71665,7.58213,2.0883,2.87024,1.87939,2.08564,2.19842,9.87423
2013-09-10,3.59632,3.70321,3.86832,10.72975,2.99321,2.40653,1.81362,1.9296,3.24714,6.389,4.24831,2.75374,7.52538,2.10779,2.81171,1.93915,2.03209,2.16446,9.74544
2013-09-11,3.56879,3.67306,3.91029,10.72954,3.18621,2.36176,1.76232,1.86676,3.29348,6.39677,4.29378,2.82328,7.56762,2.06233,2.85378,1.89505,2.06302,2.16196,9.62732
2013-09-12,3.5314,3.69169,3.98583,11.09872,3.20206,2.37251,1.75971,1.88223,3.31053,6.40534,4.31313,2.90523,7.77506,2.07259,2.87005,1.91347,2.08123,2.18054,9.49739
2013-09-13,3.52766,3.6638,3.99646,11.14453,3.21612,2.3503,1.74663,1.84755,3.31882,6.40426,4.32342,2.91707,7.78816,2.04931,2.88392,1.90627,2.07013,2.18831,9.27642
2013-09-16,3.44111,3.58979,4.08888,10.89007,3.24961,2.28262,1.7206,1.75262,3.32597,6.44888,4.28022,2.84034,7.82286,1.94948,2.91493,1.82384,2.04498,2.019,9.2338
2013-09-17,3.41845,3.53855,4.10549,10.91503,3.26691,2.23091,1.69097,1.68859,3.32707,6.46858,4.25148,2.82701,7.84064,1.919,2.93255,1.78344,1.99864,1.97625,9.0172
2013-09-18,3.41877,3.47368,4.21761,10.62558,3.44462,2.17826,1.64033,1.55025,3.45817,6.52109,4.33265,2.92332,8.01396,1.85023,3.10759,1.74095,2.05356,1.9532,8.68231
2013-09-19,3.2371,3.42534,4.11266,10.43838,3.3843,2.15588,1.64253,1.6145,3.26902,6.51369,4.1014,2.73996,7.57509,1.82621,3.04822,1.62224,1.90306,1.84755,8.85399
2013-09-20,3.2592,3.44934,4.12104,10.37212,3.39779,2.20365,1.63742,1.66142,3.29205,6.50935,4.12472,2.75885,7.58831,1.8563,3.06244,1.62673,1.92959,1.87498,8.9144
2013-09-23,3.29232,3.45103,4.11904,10.30308,3.42939,2.20298,1.64386,1.69085,3.3047,6.516,4.05782,2.78997,7.61892,1.88279,3.09387,1.63057,1.96013,1.89169,8.85152
2013-09-24,3.38867,3.51043,4.16688,10.12678,3.48432,2.27514,1.66577,1.76007,3.38088,6.51752,4.08207,2.84662,7.48579,1.95889,3.14906,1.66288,1.99294,1.93583,9.12475
2013-09-25,3.41938,3.54564,4.19915,10.06591,3.52202,2.28417,1.68208,1.77484,3.43158,6.745,4.08041,2.8817,7.52235,1.97988,3.18667,1.6916,2.02191,1.93582,9.39884
2013-09-26,3.4612,3.62224,4.27395,10.17195,3.49612,2.35932,1.67142,1.82594,3.40262,6.73955,4.06788,2.85259,7.49609,2.02267,3.16024,1.76465,2.02164,1.93426,9.95464
2013-09-27,3.49496,3.64062,4.27368,10.24042,3.50725,2.38809,1.67948,1.83688,3.42435,6.26802,4.08224,2.86833,7.50884,2.04172,3.1735,1.79081,2.05715,1.96594,9.90278
2013-09-30,3.55292,3.71008,4.28681,10.34507,3.79968,2.44526,1.7088,1.86619,3.44915,6.27672,4.09276,2.88073,7.5226,2.09665,3.18725,1.83516,2.07865,2.00123,10.09965
2013-10-01,3.52378,3.69683,4.25796,10.3897,3.76917,2.41738,1.68079,1.85069,3.41685,6.26192,4.05993,2.84878,7.49299,2.07424,3.15684,1.80102,2.0543,1.96347,10.21304
2013-10-02,3.55475,3.73839,4.28602,10.29386,3.75917,2.4097,1.67475,1.8668,3.43969,6.2705,4.08122,2.87247,7.52092,2.0928,3.18404,1.79154,2.05965,1.97858,10.75778
2013-10-03,3.57318,3.74569,4.15355,10.18781,3.70421,2.41442,1.66758,1.85052,3.43788,6.27475,4.09251,2.76241,7.53984,2.10523,3.20277,1.79905,2.06151,1.9872,10.94225
2013-10-04,3.49179,3.66582,4.07962,10.05242,3.58936,2.38035,1.63595,1.80138,3.4018,6.25833,4.05711,2.72352,7.49827,2.07223,3.0145,1.76677,2.02847,1.96646,10.36343
2013-10-07,3.47515,3.64606,3.99623,9.97455,3.60214,2.35977,1.62987,1.78795,3.41904,6.24038,4.07445,2.7389,7.69655,2.07472,3.02751,1.75386,2.04116,1.97158,10.2099
2013-10-08,3.45814,3.62248,3.95521,9.78812,3.34608,2.32267,1.62324,1.76048,3.41727,6.19967,4.07292,2.73661,7.69065,2.05393,3.02334,1.72253,2.01345,1.97241,10.29991
2013-10-09,3.42891,3.6001,3.85089,9.70782,3.326,2.29883,1.62145,1.73636,3.31799,6.20367,4.03341,2.71184,7.67382,2.03404,3.00387,1.69087,1.96975,1.94172,10.3872
2013-10-10,3.3903,3.53383,3.82442,9.18772,3.29442,2.26968,1.61324,1.69588,3.28375,6.21007,3.89752,2.68161,7.64438,2.00771,2.97191,1.67752,1.94495,1.91113,10.18985
2013-10-11,3.37131,3.51164,3.81065,9.04202,3.30689,2.21584,1.61883,1.65989,3.29601,6.21806,3.89602,2.69241,7.65817,1.97423,2.98455,1.66254,1.94168,1.92076,10.22003
2013-10-15,3.30757,3.4565,3.76112,8.86644,3.19523,2.15772,1.60261,1.61515,3.21717,6.20915,3.80783,2.64875,7.62029,1.92736,2.94394,1.61445,1.89593,1.86713,10.17435
2013-10-16,3.34592,3.51764,3.72251,9.08145,3.10673,2.18817,1.60066,1.65596,3.23437,6.22006,3.86174,2.70268,7.67196,1.9776,2.7096,1.65454,1.94394,1.92646,10.47288
2013-10-17,3.35063,3.55322,3.80817,9.0437,2.99282,2.21632,1.63442,1.67477,3.27528,6.24071,3.92797,2.79499,7.76365,2.00644,2.80457,1.71358,2.02887,2.01367,10.43837
2013-10-18,3.28924,3.46289,3.80098,8.51237,2.95469,2.12987,1.5942,1.60625,3.10106,5.03059,3.82623,2.60824,7.57268,1.92282,2.52047,1.68247,2.01945,1.92552,10.4461
2013-10-21,3.27347,3.44804,3.77809,8.41842,2.8963,2.17091,1.57694,1.60017,3.06488,5.02621,3.74641,2.58268,7.45721,1.92618,2.49629,1.69228,1.96631,1.87133,10.42106
2013-10-22,3.31825,3.49942,3.8562,8.5945,2.99316,2.19884,1.59584,1.64289,3.09795,5.04188,3.83366,2.67744,7.55126,1.93083,2.59398,1.74729,2.03279,1.90652,10.53759
2013-10-23,3.294,3.50375,3.76941,8.72798,3.0193,2.19902,1.60055,1.65811,3.12549,5.01629,3.84546,2.7056,7.48479,1.93331,2.62065,1.74046,2.04916,1.92302,10.4521
2013-10-24,3.29815,3.51909,3.72015,8.95903,2.99625,2.21693,1.61095,1.68837,3.11631,5.01683,3.78471,2.65137,7.46329,1.97751,2.59756,1.7507,2.00669,1.89134,10.44492
2013-10-25,3.31489,3.52539,3.70701,8.90891,3.01099,2.25371,1.64179,1.72691,3.1581,5.01731,3.78275,2.63459,7.29731,2.01087,2.61265,1.79045,2.01462,1.91241,10.2259
2013-10-28,3.30966,3.51414,3.69681,8.80964,2.99797,2.25729,1.64226,1.72999,3.15432,5.01482,3.7698,2.62109,7.28502,2.01297,2.59947,1.79479,1.99665,1.89857,10.16177
2013-10-29,3.35067,3.53384,3.7047,9.09412,3.00518,2.25618,1.63066,1.73377,3.16844,5.00225,3.71936,2.59492,7.20289,2.0046,2.74648,1.78432,1.99458,1.9149,10.28453
2013-10-30,3.3156,3.49696,3.65096,9.21481,2.9853,2.2263,1.62224,1.67715,3.13918,4.99296,3.69904,2.57566,6.91842,1.95105,2.72707,1.73639,1.97457,1.89567,10.14019
2013-10-31,3.27514,3.50235,3.62262,9.20685,2.96044,2.28872,1.60963,1.69687,3.12255,4.99484,3.68525,2.55684,6.89329,1.957,2.70098,1.76094,1.95796,1.90451,10.13552
2013-11-01,3.29428,3.50707,3.6128,8.91543,2.89124,2.33919,1.60781,1.71101,3.05883,5.22791,3.65613,2.48793,6.827,2.00162,2.63147,1.75518,1.95641,1.87746,10.28637
2013-11-04,3.33501,3.51123,3.65198,8.75104,2.94146,2.33498,1.60739,1.7132,3.07954,5.2317,3.66696,2.50131,6.71264,2.01038,2.64778,1.74703,1.97578,1.95691,10.31489
2013-11-05,3.37594,3.52196,3.69437,8.40962,2.95132,2.35952,1.64218,1.74301,3.04956,5.22758,3.60345,2.46825,6.65709,2.04496,2.5886,1.7553,1.96154,1.9181,10.5689
2013-11-06,3.40954,3.55823,3.81902,8.40626,2.98175,2.38047,1.63781,1.77548,3.08737,5.22214,3.65418,2.58406,6.68928,2.06989,2.62001,1.77142,2.03038,1.9582,10.66723
